Id,Name,Zone,Toldescribe,Description,Tel,Add,Zipcode,Region,Town,Travellinginfo,Opentime,Picture1,Picdescribe1,Picture2,Picdescribe2,Picture3,Picdescribe3,Map,Gov,Px,Py,Orgclass,Class1,Class2,Class3,Level,Website,Parkinginfo,Parkinginfo_Px,Parkinginfo_Py,Ticketinfo,Remarks,Keyword,Changetime,seg,year
C1_315081500H_000009,福德水車公園生態園區,,2006年3月11日開幕的福德水車園區，是三芝水車文化景觀中最大的水車園區，座落於三芝區鬧區南側，三芝遊客中心對面，佔地近0.6公頃。沿著環園步道，除了有以高架引水道空中給水以帶動水車運行的大型引導式木造水車之外，還有一座用來維護水源乾淨的沉砂池，可以欣賞到多樣化的水車景觀及隨著四季舞弄風情的繽紛植物。穿越紅色景觀橋，即可一覽八連溪兩岸風光。  此處結合『觀光』、『生態』、『健康』三大主題，不僅可享受山林鳥野間純淨的氣息，周圍所視更是盈盈綠意、處處生機。  如藝術品般散落於三芝各地的水車造景，靜靜緩慢地一格一格順水轉動著，不僅訴說著早期農業發展的歷程與痕跡，也多了一份靜謐和知性的氛圍。,,886-2-86353640,新北市三芝區三芝遊客中心旁(三芝遊客中心地址:臺北縣三芝區埔坪里埔頭坑164-2號),,新北市,三芝區,,全年無休,,,,,,,,315081500H,121.50617,25.24749,,12,8.0,,,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002734,,,,,,"北海岸及觀音山國家風景區入口網, 觀光資訊網, 魅力景點, 三芝鄉, test",2012/6/26 09:27,"['水車', '三芝', '園區', '景觀', '一格', '引水道', '2006', '11', '開幕', '福德水車', '區鬧區', '南側', '遊客', '對面', '地近', '0.6', '公頃', '沿著', '環園步', '有以', '給水以', '帶動', '運行', '引導式', '木造', '還有', '用來', '維護', '乾淨', '沉砂池', '欣賞', '多樣化', '隨著', '風情', '繽紛', '紅色景', '觀橋', '一覽八連溪', '兩岸', '風光', '此處', '結合', '觀光', '生態', '三大主題', '不僅', '鳥野間', '純淨', '氣息', '周圍', '所視', '綠意', '處處', '生機', '如藝術', '品般', '造景', '靜靜', '緩慢', '順水', '轉動', '不僅訴', '農業', '發展', '歷程', '痕跡', '靜謐', '氛圍', '舞弄', '座落', '知性', '高架', '盈盈', '散落', '穿越', '山林', '四季', '水源', '即可', '空中', '享受', '一份', '一座', '早期', '健康', '之外', '更是', '植物', '各地', '大型', '除了', '文化', '中心', '最大', '可以']",2012
C1_315081500H_000013,麟山鼻遊憩區,,與富貴角相對望，矗立白沙灣兩旁，由於八十萬年前大屯火山群的竹子火山爆發，而形成了向外海延伸的岬角，德茂里居民稱為「鼻尾鼻」或「鼻尾頭」，日治時期改名為「麟山鼻」，為大量火山遺跡「安山岩」所構成的區域，安山岩呈深黑色、質地堅硬，有稜有角的『風稜石』，則是麟山鼻步道上具代表性的地形景觀。  岩石節理發達的安山岩，在海浪經年累月的侵蝕及東北季風長年不斷的挾帶砂粒吹襲磨蝕之下，逐漸形成平坦的風蝕面，然後再隨著風向改變帶來不同角度的雕琢，擁有尖銳的稜角，因而稱為『風稜石』。佇足欣賞這些體積碩大且造形奇特的風稜石時，就彷彿聽見風與石的對話，令人驚訝於那份來自自然力量中，自始至終不曾改變的深刻與堅持。  另堪稱為麟山鼻的瑰寶--藻礁，是一個值得進行觀察的特殊地形景觀。有些藻類的生長條件需附著在穩固的岩石上，遍佈的安山岩理所當然的成為了最佳的選擇，隨著藻類的新生與死亡，一代代的交替生長，進而形成了岩石表面上，具有多層細薄石灰質的藻礁。此外，觀賞潮間帶的小生物也是遊憩麟山鼻的重點活動之一，透過事先查看潮汐及準備齊全的裝備，就能一享弄潮的樂趣，並可輕易在岩縫石塊中，發現難得的自然野趣。  目前規劃成的「麟山鼻遊憩區」，設有人行步道、木棧道設備等，除可欣賞海濱風景外，  更可觀察海中淺灘生態。  2007年8月上映的電影：「不能說的秘密」中有一幕男主角護送女主角回家的場景，即是在麟山鼻遊憩區自行車步道所拍攝。其中木棧道總長約600公尺；沿途海景秀麗，尤以微風吹拂木麻黃林、海風挑動銀浪時，最為動人，也因此吸引許多影迷探訪。,,886-2-86355100,新北市石門區德茂里下員坑(2號省道23公里處),,新北市,石門區,,全年無休,,,,,,,,315081500H,121.51334,25.28467,,12,8.0,,,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002490,,,,,,麟山鼻觀海步道,2012/6/26 09:05,"['安山岩', '稱為', '麟山', '景觀', '隨著', '改變', '藻礁', '藻類', '生長', '鼻遊', '憩區', '木棧', '火山', '岩石', '地形', '形成', '弄潮', '深黑色', '富貴角', '相對望', '灣兩旁', '爆發', '德茂里', '鼻尾', '鼻尾頭', '日治', '時期', '遺跡', '所構', '區域', '質地', '堅硬', '則是麟山', '鼻步', '節理', '發達', '經年', '侵蝕', '東北季', '風長', '不斷', '挾帶', '吹襲', '磨蝕', '逐漸', '風蝕面', '然後再', '風向', '帶來', '擁有', '尖銳', '佇足', '欣賞', '這些', '體積', '碩大且', '石時', '驚訝', '至終', '堅持', '另堪稱', '為麟山', '--', '一個', '進行', '觀察', '條件', '附著', '穩固', '理所', '當然', '成為', '選擇', '進而', '多層', '細薄', '觀賞', '潮間', '是遊', '憩麟山', '重點', '活動', '透過', '準備', '齊全', '裝備', '一享', '樂趣', '並可輕易', '岩縫', '石塊', '發現', '難得', '規劃成', '設備', '可欣賞', '海濱', '風景外', '觀察海', '淺灘', '生態', '2007', '電影', '護送', '場景', '車步', '總長', '600', '秀麗', '微風', '木麻黃林', '海風', '挑動', '銀浪時', '最為', '動人', '許多', '探訪', '野趣', '行步', '自始', '造形', '海景', '砂粒', '大屯', '男主角', '岬角', '公尺', '吹拂', '自然', '一代代', '影迷', '女主角', '外海', '白沙', '八十', '雕琢', '竹子', '上映', '矗立', '海浪', '潮汐', '石灰', '那份', '沿途', '一幕', '新生', '奇特', '交替', '代表性']",2012
C1_315081500H_000014,白沙灣水域遊憩區,,白沙灣(台2線23公里處)是由麟山鼻與富貴角共同合抱而成的半月形天然海灣，綿延的白淨沙灘長約1公里，您可以邀三五好友漫步於景觀步道上，遠觀一望無際的絕美海景，渡過悠閒的午後時光；這裡也相當適合大小朋友親子共遊，一同逐浪、堆堡、享受海水的沁涼，讓心靈徹底放鬆，予人純淨自在的舒適感。  輕輕漫步在沙灘上，會為了眼前的蔚藍海色不捨離去，更因為能坐擁一灣細緻的貝殼沙而流連忘返，還有被白浪捲帶上岸的珊瑚礁和貝殼，在歷經長期不斷的沖刷擊碎之後，終成人們握在手中的浪漫與眷戀。一旦風起時，掌中的細沙就急著起舞，它們將依循著強勁海風的吹拂，堆疊出整齊美麗的波浪狀細紋，大自然獨特的藝術品讓人驚嘆不已。  如果與沙相約後，還有閒情，不妨拜訪同在這片沙地上的沙地植物，看看它們如何以自身絕技克服惡劣環境，尋求一線生機。多變的地貌及有趣的自然生態，豐富了這方海之角，靜待人們的到來與探索。如需獲知更詳盡的生態旅遊資訊，可就近前往白沙灣遊客中心諮詢，備有多樣化的旅遊資料供遊客索取，並提供多媒體放映解說服務。,,886-2-86355100,新北市石門區德茂里下員坑(2號省道23公里處),,新北市,石門區,,五、六、十月AM9:00-PM17:00;七、八、九月AM9:00-PM18:00,,,,,,,,315081500H,121.51787,25.28422,,12,8.0,,,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002491,,,,,,白沙灣,2012/6/26 09:06,"['沙灘', '還有', '生態', '旅遊', '漫步', '白沙', '沙地', '依循', '予人', '公里', '23', '由麟山', '富貴角', '海灣', '綿延', '白淨', '景觀步', '遠觀', '無際', '絕美', '渡過', '悠閒', '午後時', '這裡', '相當', '適合', '親子', '共遊', '逐浪', '堆堡', '沁涼', '心靈', '徹底', '純淨', '適感', '輕輕', '會為', '藍海色', '因為', '擁一灣', '貝殼', '歷經長', '期不斷', '刷擊', '眷戀', '風起', '細沙', '它們將', '著強', '勁海風', '堆疊出', '整齊', '美麗', '狀細紋', '獨特', '藝術品', '驚嘆', '沙相約', '閒情', '拜訪', '這片', '它們', '絕技', '惡劣', '環境', '尋求', '一線', '生機', '多變', '豐富', '這方海', '之角', '獲知', '詳盡', '資訊', '灣遊客', '備有', '多樣化', '資料', '供遊客', '多媒體', '解說', '服務', '掌中', '海景', '半月形', '合抱', '吹拂', '三五', '放映', '待人', '白浪', '起舞', '如需', '索取', '珊瑚礁', '就近', '好友', '一望', '波浪', '浪漫', '上岸', '大自然', '成人', '不已', '有趣', '克服', '地貌', '一同', '不妨', '海水', '探索', '前往', '天然', '享受', '而成', '眼前', '手中', '自身', '朋友', '植物', '大小', '一旦', '共同', '看看', '自然', '中心', '如何', '提供', '如果', '可以']",2012
C1_315081500H_000015,白沙灣遊客中心,,位於白沙灣入口旁的北海岸及觀音山國家風景區管理處，設有白沙灣遊客中心，於2002年正式成立，為台灣第11處國家風景區。整體建築不同於一般的設計規劃，建築層次與緩和的斜坡串連，將停車場、廣場與沙灘的活動相互融合，減低建築高度視覺，提供屋頂草地與平台的活動空間，改善人與地景及建築的傳統二元關係，讓建築像大樹岩石一樣融入地景，造型極具生態理念。  一進遊客中心，馬上就有親切熱情的服務人員向您招呼諮詢，讓來訪的遊客備感溫馨。這裡提供許多相關旅遊資料、出版品及多媒體放映解說服務，除了讓您更深入了解北海岸及觀音山外，同時也讓您的遊程更加盡興自在。,,886-2-86355100,新北市石門區德茂里下員坑33-6號,,新北市,石門區,,十月至四月AM9:00-PM17:00;五月至九月AM9:00-PM18:00,,,,,,,,315081500H,121.52016,25.28399,,12,8.0,,,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002740,,,,,,"北海岸及觀音山國家風景區入口網, 觀光資訊網, 魅力景點, 石門鄉, 北海岸及觀音山國家風景區管理處",2012/6/26 09:07,"['建築', '北海岸', '風景區', '活動', '遊客', '白沙', '觀音', '山國家', '設有', '灣遊客', '2002', '台灣', '11', '處國家', '整體', '設計', '規劃', '建築層', '串連', '將停', '車場', '廣場', '沙灘', '減低', '視覺', '屋頂', '空間', '地景及', '傳統', '大樹', '一樣', '地景', '極具', '生態', '一進', '親切', '熱情', '服務人員', '來訪', '備感', '溫馨', '這裡', '關旅遊', '資料', '品及', '媒體', '解說', '服務', '及觀', '音山外', '同時', '遊程', '盡興', '多相', '中心', '放映', '提供', '斜坡', '二元', '融入', '草地', '入口', '造型', '融合', '理念', '招呼', '岩石', '深入', '相互', '平台', '出版', '高度', '改善', '更加', '正式', '除了', '成立', '了解', '管理', '不同', '一般']",2012
C1_315081500H_000016,富貴角遊憩區,,舊名為「打賓」或「打鞭」的富貴角，於清乾隆27年(西元1762年)，荷蘭人法倫泰在其著作《新舊印度誌》中，將富貴角記為「hoek」，意思為海岬，後人便採其譯音稱此地為「富基角」，直到日治時期才更名為「富貴角」。  富貴角公園內，規劃有海濱人行步道，順著步道迎風前行，除了欣賞風稜石外，還可以看到由石門礁岸所形成的老梅海灣地形及沙丘等，當然還有因強風雕塑而成的風剪樹，與固守在沙丘上的沙灘植物。  「風剪樹」顧名思義，乃是因為受到強風作用，迎風那一面無法抵擋強風日夜吹襲，因此只能順著風的方向生長，久而久之，就形成了迎風面樹枝葉少，背風面枝葉繁茂的不平均狀態，而樹冠頂部的枝葉根本無法生長，就像是被大剪刀剪過一般，因此才被稱為風剪樹。,,886-2-86355100,新北市石門區富基里（2號省道25公里處，往富基漁港內進入）,,新北市,石門區,,全年無休,,,,,,,,315081500H,121.53834,25.29247,,12,8.0,,,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002492,,,,,,富貴角公園,2012/6/26 09:09,"['富貴角', '迎風', '剪樹', '強風', '無法', '生長', '枝葉', '沙丘', '舊名', '打賓', '打鞭', '27', '西元', '1762', '荷蘭人', '法倫泰', '新舊', '將富', '貴角', '記為', 'hoek', '為海', '採其譯', '音稱', '富基角', '日治', '時期', '公園', '規劃', '海濱', '順著步', '欣賞', '石外', '石門', '礁岸', '海灣', '當然', '還有', '因強', '沙灘', '風剪', '顧名', '思義', '因為', '抵擋', '吹襲', '順著風', '迎風面', '樹枝', '葉少', '背風面', '狀態', '而樹冠', '頂部', '剪過', '老梅', '行步', '久而久之', '繁茂', '清乾隆', '剪刀', '固守', '形成', '雕塑', '前行', '因此', '更名', '日夜', '此地', '乃是', '地形', '像是', '而成', '著作', '一面', '植物', '意思', '直到', '印度', '根本', '方向', '只能', '平均', '除了', '受到', '看到', '作用', '一般', '可以']",2012
C1_315081500H_000020,青山瀑布步道,,行經石門，除了沿著海岸線前行，一睹大自然造景的神奇變化之外，不妨就驅車向山，來一趟恬靜的山林之旅，享受遠離塵囂的舒服與自在。沿著台2線的公路行駛，眼前景象盡是碧海藍天，再依著標示約26公里處(老梅國小對面)右轉進入往青山瀑布的路標，轉入北17縣道後，瞬間眼前熟悉的蔚藍，有了急劇的轉變，迎面而來的會是一抹抹的油綠，隨即置身於起伏的丘陵中，這時您可看到成片依山勢而耕築的梯田。  高聳的竹子山，匯聚了山中的豐沛水量，水流順勢流經了具高度落差的溪谷斷層，於是就此形成了石門山林中的青山瀑布，高約8公尺，舊名尖山湖瀑布。想要造訪風景秀麗的青山瀑布，必須沿著當年為了灌溉梯田而修築的坎底寮圳，一路向上攀爬。循著水聲淙淙，緩坡前行，便能悠閒的漫步在步道上。環顧四週，有青山與老梅溪一路相伴，五節芒隨風搖曳成趣，還有各式生長姿態獨特的林木互為左右，時而可以回首海岸，看丘陵自山中起伏，舖陳梯田處處，享受登高賞景的快意；或者再向前行，轉個彎走入溪谷，沿溪踏石而行，體驗戲水的自然樂趣。這個位於陽明山國家公園境內的青山瀑布全程長1.3公里，路程約40分鐘。,,886-2-86355100,新北市石門區尖山湖,,新北市,石門區,,全年無休,,,,,,,,315081500H,121.56638,25.24043,,12,8.0,,,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002495,,,,,,青山瀑布步道,2012/6/26 09:12,"['青山', '瀑布', '梯田', '石門', '沿著', '溪谷', '山林', '前行', '山中', '起伏', '海岸', '丘陵', '步道', '享受', '一路', '眼前', '公里', '行經', '造景', '變化', '驅車', '恬靜', '遠離', '塵囂', '沿著台', '行駛', '盡是', '藍天', '依著', '標示', '26', '老梅國', '對面', '右轉', '進入', '路標', '轉入', '17', '縣道', '瞬間', '急劇', '轉變', '而來', '油綠', '隨即', '這時', '依山勢', '耕築', '高聳', '匯聚', '豐沛', '順勢', '流經', '斷層', '高約', '舊名', '造訪', '風景秀麗', '必須', '當年', '修築', '坎底', '循著', '水聲', '緩坡', '悠閒', '環顧', '四週', '老梅溪', '五節芒', '隨風搖曳', '成趣', '還有', '生長', '姿態', '獨特', '互為', '處處', '賞景', '轉個', '踏石', '體驗', '戲水', '樂趣', '這個', '陽明', '山國家', '公園', '境內', '1.3', '40', '分鐘', '沿溪', '碧海', '尖山', '淙淙', '攀爬', '一睹', '抹抹', '公尺', '快意', '置身', '登高', '漫步', '回首', '竹子', '各式', '成片', '相伴', '之旅', '走入', '迎面', '全程', '路程', '落差', '大自然', '神奇', '林木', '而行', '水量', '舒服', '景象', '一趟', '水流', '灌溉', '就此', '不妨', '想要', '向前', '熟悉', '向上', '高度', '公路', '之外', '或者', '除了', '自然', '看到', '左右', '形成', '可以']",2012
C1_315081500H_000021,老梅綠石槽,,位於北海岸石門區老梅里的綠石槽海岸，為全台唯一特殊景觀，美不勝收。「綠石槽」在地理名詞中，應稱為「潮溝」或「海蝕溝」，這些排列整齊的石槽，是由於大屯火山爆發後，遺留海岸邊的火山礁岩，在波浪長期的沖刷下，質地鬆軟的部份被侵蝕，留下較堅硬的部份而形成溝槽，  這種特殊的「石槽」地形景觀，在冬季東北季風盛行時，浪花滋潤了石槽的岩面，也開始滋生「石蓴」、「裂片石蓴」和「扁石髮」等綠色的海藻，等到四月份東北季風漸歇，石槽就長滿了一大片綠色的海藻，也形成令人驚嘆不已的「綠石槽」海岸景觀。  綠石槽只出現在四、五月份，隨後海藻就在夏日陽光的曝曬下而消失，這段短暫而美麗的季節中，經常吸引來自全台各地的專業攝影師來此捕捉美景及拍攝婚紗照。北觀處同時提醒民眾，綠石槽在遊客的踩踏下已面臨生存危機，所以希望遊客能留在沙灘上觀賞就好，不要踩到綠石槽的範圍，尤其綠石槽上方相當滑溜危險，踩踏上方萬一滑倒受傷，那就得不償失了。遊客前往當地拍照，需先上氣象局網站查詢每日石門地區的乾潮時間，才不致因海水漲潮淹沒石槽，而無法捕捉綠色海岸的美景。,,886-2-86355100,新北市石門區老梅社區沿海,,新北市,石門區,,全年無休,,,,,,,,315081500H,121.54537,25.29235,,12,8.0,,,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002497,,,,,,老梅石槽,2012/6/26 09:12,"['石槽', '景觀', '綠色', '遊客', '海岸', '海藻', '部份', '美景', '踩踏', '捕捉', '火山', '上方', '北海岸', '礁岩', '石門區', '美不勝收', '名詞', '應稱', '潮溝', '海蝕溝', '這些', '整齊', '爆發', '遺留', '邊的', '侵蝕', '堅硬', '溝槽', '這種', '東北', '季風', '滋潤', '岩面', '開始', '扁石', '東北季', '風漸', '驚嘆', '出現', '隨後', '陽光', '曝曬', '這段', '美麗', '季節', '經常', '自全台', '專業', '攝影', '師來', '攝婚', '紗照', '北觀', '同時', '民眾', '面臨', '危機', '沙灘', '觀賞', '範圍', '相當', '危險', '萬一', '受傷', '不償失', '當地', '需先', '氣象局', '網站', '查詢', '石門', '地區', '乾潮', '時間', '漲潮', '無法', '五月份', '全台', '特殊', '四月份', '梅里', '滑溜', '大屯', '滑倒', '裂片', '浪花', '夏日', '拍照', '滋生', '形成', '波浪', '不致', '不已', '盛行', '大片', '海水', '生存', '排列', '前往', '地理', '冬季', '等到', '地形', '留在', '每日', '提醒', '令人', '吸引', '消失', '唯一', '留下', '各地', '尤其', '希望', '不要', '所以']",2012
C1_315081500H_000027,中角沙珠灣,,位於台2線39公里處，為北海岸的衝浪專區。夏日炎炎，總是吸引許多衝浪好手前來此地進行衝浪活動，在廣闊的海水上享受馳騁海水的快感。  這裡除了可進行衝浪活動之外，還可以遠眺金山八景之一：「燭臺雙嶼」，海天一線的優美景致，總讓人能夠拋開煩憂忙碌，盡情沉浸在蔚藍海岸中。燭臺雙嶼可說是金山的代表景點，又稱為「夫妻石」，位於金山岬東側海面上，形狀有如兩個燭臺並列，其成因乃因地盤上升，由隆起的珊瑚礁岩所形成之海蝕岩柱，十分特別有趣。  從中角至永興漁港間，更整建有海濱公路停車場與賞景步道，讓遊客便於停車駐足沿線賞景，也可走走步道，眺望對面基隆嶼、野柳海岬及獅頭山燭臺雙嶼的地質美景。,,886-2-24988980,新北市金山區中角海灘,,新北市,金山區,,全年無休,,,,,,,,315081500H,121.63436,25.23895,,12,8.0,,,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002742,,,,,,"北海岸及觀音山國家風景區入口網, 觀光資訊網, 魅力景點, 金山鄉, 中角沙珠灣",2012/6/26 08:41,"['衝浪', '雙嶼', '金山', '進行', '活動', '海水', '整建', '北海岸', '39', '專區', '總是', '許多', '前來', '廣闊', '馳騁', '這裡', '遠眺', '一線', '優美', '總讓', '能夠', '拋開', '煩憂', '盡情', '景點', '東側', '形狀', '兩個燭', '並列', '乃因', '地盤', '岩所', '之海蝕', '岩柱', '特別', '中角', '至永興', '漁港間', '有海濱', '停車場', '賞景步', '遊客', '停車', '駐足', '沿線', '賞景', '對面', '海岬及', '獅頭', '山燭', '地質', '野柳', '炎炎', '海天', '八景', '好手', '基隆', '夏日', '眺望', '美景', '快感', '景致', '珊瑚礁', '沉浸', '走走', '有如', '忙碌', '成因', '隆起', '海面', '有趣', '此地', '海岸', '夫妻', '享受', '吸引', '公里', '公路', '之外', '除了', '上升', '代表', '十分', '之一', '形成', '可以']",2012
C1_315081500H_000030,獅頭山公園,,地質及生態豐富的獅頭山，原名為金山中正公園，位於突出於海岸的金山海岬，由原來的軍事海防要地轉型為賞景觀光勝地，由於以前為軍事經常管制區，一般民眾不得而入，因而保存著許多自然原始的環境生態以及未遭污染破壞的海岸景觀。從獅頭山頂可以走濱海神秘步道通往水尾漁港，山頂的步道及砂岩山體下，保有四通八達的碉堡坑道、營房、砲台及2座懷念蔣介石的「介字亭」，保存良好的軍事建築彷彿無聲地訴說著當年枕戈待旦的英勇歷史。  獅頭山海拔高約70餘公尺，山上林木成蔭，春夏季節花木扶疏，鳥語花香。四處設有觀景涼亭，視野極佳，望東可見野柳岬，西邊則是磺港漁港與中角山海景，沿步道往北邊走去，有一座傳統式紅色涼亭-中正亭，北方海面可清楚望見著名的金山地標「燭臺雙嶼」。  位於北磺溪出口的磺港漁港，在清朝時期因運輸硫磺而得名，現今已規劃為漁港公園，每逢捕魚時節，入夜漁火點點，與星空相互輝映，甚為愜意。而水尾漁港沿岸平日風平浪靜，夜晚時海面如鏡，若逢月圓，皓月當空，映入海面時，波光盪漾，如詩如畫，也可一見金山八景之一的「水尾泛月」。  獅頭山儼然就是金山岬突出於北海岸的瞭望臺，左右各擁有一座漁港環抱，因本身居高臨下，若要盡得金山海岸景觀之美，一次飽覽三大奇景：燭台雙嶼、磺港漁火及水尾泛月，及探索特殊的軍事遺址，這裡實在是不容錯過的好地方。,,886-2-24988980,新北市金山區公園路,,新北市,金山區,,全年無休,,,,,,,,315081500H,121.64605,25.22597,,12,8.0,,,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002743,,,,,,"北海岸及觀音山國家風景區入口網, 觀光資訊網, 魅力景點, 金山鄉, 獅頭山公園",2012/6/26 08:43,"['漁港', '軍事', '金山', '磺港', '生態', '獅頭山', '公園', '景觀', '獅頭', '山頂', '雙嶼', '水尾泛', '海面', '海岸', '中正', '磺溪', '步道', '保存', '四通', '介石', '平浪', '北海岸', '一座', '突出', '地質', '豐富', '原來', '轉型', '賞景觀', '光勝地', '經常', '民眾', '著許', '環境', '破壞', '走濱海', '水尾', '山體', '八達', '營房', '懷念', '介字亭', '建築', '無聲', '地訴', '當年', '歷史', '高約', '70', '成蔭', '鳥語', '四處', '設有', '觀景涼亭', '視野', '極佳', '望東', '可見', '西邊則', '中角山', '沿步', '往北邊', '傳統式', '紅色', '涼亭', '望見', '時期', '因運輸', '現今', '規劃', '捕魚', '時節', '漁火點點', '輝映', '甚為', '愜意', '而水尾', '如鏡', '若逢', '月圓', '當空', '盪漾', '如詩', '如畫', '一見', '儼然', '各擁', '環抱', '居高臨', '盡得', '之美', '飽覽三大', '燭台', '漁火及', '遺址', '這裡實', '錯過', '花木扶疏', '枕戈待旦', '野柳', '未遭', '春夏季', '海景', '皓月', '波光', '映入', '公尺', '入夜', '八景', '碉堡', '奇景', '花香', '星空', '山海拔', '硫磺', '保有', '瞭望', '海防', '而入', '砂岩', '坑道', '若要', '每逢', '英勇', '管制', '不容', '林木', '污染', '通往', '清朝', '夜晚', '原名', '山上', '探索', '神秘', '沿岸', '得名', '平日', '原始', '山地', '相互', '北方', '著名', '良好', '特殊', '因而', '本身', '清楚', '不得', '出口']",2012
C1_315081500H_000034,慈護宮,,俗稱「金包里媽祖廟」，是金山最具規模的廟宇，主要供奉金面媽祖，是當地信仰中心，鄉人更尊稱為「大廟」。當地人相信摸龍柱會發財，所以龍柱的舌尖與圓球早被摸得光亮，媽祖兩旁的千里眼與順風耳手拿金元寶，象徵著招財進寶。  200年歷史的金山慈護宮，不只是北海岸最重要的媽祖廟，更因為一則民間傳說，而衍生了一段金山媽祖到野柳做客的神奇姻緣。相傳清嘉慶年間（1796-1820）有「金面媽祖」神尊漂流海上，後擱淺野柳海岸石洞（今尊稱為媽祖洞），為當地莊民奉祀，後因媽祖神跡屢現，靈驗異常，參拜祈求之人接踵而至，野柳莊民想興建大廟供奉，後於嘉慶14年（1809）歲次已巳，廟宇在金山竣建而成，命名「天后宮」，由野柳恭迎媽祖神尊鎮座奉祀。  失去了媽祖的野柳人，對於媽祖一直是念念不忘，卻也莫可奈何，最後和金山人幾經協商後，金山人決定每年請媽祖回到發現媽祖的海蝕洞中做客一天，以方便野柳人的祭拜，而這正是金山媽祖到野柳做客的主要理由。,,886-2-24988980,新北市金山區大同里金包里街10號(金山老街旁),,新北市,金山區,,全年無休,,,,,,,,315081500H,121.64011,25.2202,,12,8.0,,,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002753,,,,,,"北海岸及觀音山國家風景區入口網, 觀光資訊網, 魅力景點, 金山鄉, 慈護宮",2012/6/26 08:55,"['野柳', '媽祖', '金山', '當地', '做客', '媽祖廟', '廟宇', '金面', '媽祖到', '奉祀', '供奉', '北海岸', '俗稱', '金包里', '規模', '鄉人', '尊稱', '大廟', '摸龍柱', '發財', '龍柱', '圓球', '兩旁', '順風耳手', '象徵著', '招財進', '200', '歷史', '慈護宮', '因為', '一則民間', '傳說', '姻緣', '相傳', '清嘉慶', '年間', '1796', '1820', '神尊', '擱淺', '今尊稱', '媽祖洞', '莊民', '因媽', '祖神跡', '屢現', '靈驗', '異常', '參拜', '莊民想', '興建大廟', '嘉慶', '14', '1809', '歲次', '竣建而成', '媽祖神', '尊鎮座', '最後和', '人幾經', '協商', '決定', '請媽祖', '發現', '海蝕', '莫可奈何', '千里眼', '石洞', '祭拜', '接踵而至', '念念不忘', '恭迎', '舌尖', '漂流', '祈求', '金元', '天后', '神奇', '光亮', '最具', '衍生', '信仰', '海岸', '命名', '主要', '海上', '一段', '方便', '理由', '失去', '相信', '每年', '回到', '一天', '正是', '中心', '一直', '只是', '所以', '重要']",2012
